No,units,pets,TVshows,music,movie
271,12,2,5,others,action
272,12,3,2,others,"action, horror, drama"
273,15,2,0,others,action
274,16,3,0,others,other
275,16,0,0,others,horror
276,15,0,2,rock,horror
277,12,0,0,pop,drama
278,15,1,0,rap,action
279,16,1,2,kpop,other
280,15,0,0,kpop,other
281,16,2,1,pop,action
282,15,2,2,rock,horror
283,15,2,2,kpop,action
284,15,2,1,kpop,other
285,13,3,0,rock,action
286,16,2,1,"rap, others",other
287,13,2,1,others,action
288,15,0,2,rock,horror
289,13,1,1,rock,action
290,16,0,0,others,horror
291,13,2,1,rock,action
292,16,0,1,rap,action
293,14,2,0,rap,other
294,16,0,1,kpop,horror
295,16,1,1,kpop,action
296,11,1,2,pop,action
297,13,2,2,rock,action
298,14,0,1,kpop,action
299,16,2,1,others,action
300,16,3,2,rock,action
301,15,2,1,kpop,other
302,16,2,1,pop,action
303,16,2,6,kpop,other
304,13,1,1,rock,action
305,17,2,0,others,other
306,15,2,2,rock,horror
307,12,2,5,others,drama
308,16,3,2,kpop,action
309,13,2,1,others,action
310,13,1,0,pop,action
311,16,3,0,others,other
312,13,0,0,others,horror
313,15,2,0,others,action
314,13,2,1,others,action
315,16,0,0,others,horror
316,15,0,0,kpop,other
317,16,2,2,others,action
318,13,1,0,pop,other
319,15,2,2,kpop,action
320,12,2,5,others,other
321,17,2,0,rap,action
322,15,2,2,rock,horror
323,15,1,1,rock,action
324,16,0,0,pop,action
325,15,2,1,kpop,other
326,17,2,0,others,other
327,15,2,2,kpop,action
328,13,2,1,others,action
329,13,1,1,rock,action
330,16,0,0,others,action
331,16,1,1,others,other
332,13,2,3,others,other
333,11,1,1,others,other
334,13,2,1,kpop,drama
335,15,1,2,others,other
336,16,2,0,rock,action
337,16,0,2,others,action
338,16,0,1,others,horror
339,15,1,2,pop,action
340,16,1,2,others,action
351,15,0,0,kpop,other
352,16,1,2,kpop,other
353,16,1,3,rap,action
354,15,1,0,rap,horror
355,13,3,0,rock,action
356,16,0,0,others,horror
357,17,2,0,rap,action
358,16,2,1,others,action
359,16,1,0,pop,drama
360,15,0,2,rock,horror
361,16,2,6,kpop,other
362,15,2,2,rock,horror
363,15,2,2,kpop,action
364,13,3,0,rock,action
365,16,2,1,kpop,other
366,15,2,0,others,action
367,16,0,0,others,horror
368,13,2,1,others,action
369,13,1,1,rock,action
370,15,1,0,rap,action
371,14,0,2,rock,horror
372,16,0,0,pop,action
373,15,1,0,rap,action
374,17,2,0,others,other
375,12,0,0,pop,drama
376,16,1,2,kpop,other
377,12,3,2,others,other
378,17,2,0,rap,action
379,13,0,0,others,horror
380,14,1,3,pop,action
